Software Engineering,,,Computer Graphics and Visualization,,,Computational Science and Engineering,,,Database and Information Systems,,,Algorithmic Foundations,,,Machine Intelligence,,,Programming Language,,,Security,,,Systems Software,
required,5,,required,3,,required,5,,required,4,,required,3,,required,4,,required,3,,required,3,,required,3
CS 30700,Software Engineering I,,CS 31400,Numerical Methods,,CS 31400,Numerical Methods,,CS 34800,Information Systems,,CS 38100,Introduction to the Analysis of Algorithms,,CS 37300,Data Mining and Machine Learning,,CS 35200,Compilers: Principles and Practice,,CS 35400,Operating Systems,,CS 35200,Compilers: Principles and Practice
CS 38100,Introduction to the Analysis of Algorithms,,CS 33400,Fundamentals of Computer Graphics,,CS 38100,Introduction to the Analysis of Algorithms,,CS 38100,Introduction to the Analysis of Algorithms,,choose,1,,CS 38100,Introduction to the Analysis of Algorithms,,CS 35400,Operating Systems,,CS 35500,Introduction to Cryptography,,CS 35400,Operating Systems
CS 40800,Software Testing,,choose,1,,choose,1,,CS 44800,Introduction to Relational Databases,,CS 35200,Compilers: Principles and Practice,,choose,1,,CS 45600,Programming Languages,,CS 42600,Computer Security,,CS 42200,Computer Networks
CS 40700,Software Engineering Senior Project,,CS 37300,Data Mining and Machine Learning,,Math 26600,Ordinary Differential Equations,,choose,1,,CS 35400,Operating Systems,,CS 47100,Artificial Intelligence,,,,,,,,,
choose,1,,CS 43400,Advanced Computer Graphics,,Math 36600,Ordinary Differential Equations,,CS 37300,Data Mining and Machine Learning,,choose,1,,CS 47300,Web Information Search & Management,,elective,3,,elective,3,,elective,3
CS 35200,Compilers: Principles and Practice,,CS 47100,Introduction to Artificial Intelligence,,overflow,1,,CS 47300,Web Information Search & Management,,CS 37300,Data Mining and Machine Learning,,choose,1,,CS 35300,Principles of Concurrency & Parallelism,,CS 35200,Compilers: Principles and Practice,,CS 30700,Software Engineering I
CS 35400,Operating Systems,,,,,CS 37300,Data Mining and Machine Learning,,,,,CS 47100,Introduction to Artificial Intelligence,,STAT 41600,Probability,,CS 38100,Introduction to the Analysis of Algorithms,,CS 38100,Introduction to the Analysis of Algorithms,,CS 33400,Fundamentals of Computer Graphics
,,,elective,3,,CS 47300,Web Information Search and Management,,Equired,3,,,,,MA 41600,Probability,,CS 42600,Computer Security,,CS 42200,Computer Networks,,CS 35300,Principles of Concurrency and Parallelism
